wl,n,,wl,k
2.849,1.721,,2.849,0.02
2.8571,1.72,,2.8571,0.021
2.8653,1.72,,2.8653,0.021
2.8736,1.72,,2.8736,0.02
2.8818,1.72,,2.8818,0.02
2.8902,1.72,,2.8902,0.02
2.8986,1.72,,2.8986,0.02
2.907,1.719,,2.907,0.02
2.9155,1.719,,2.9155,0.02
2.924,1.719,,2.924,0.02
2.9326,1.718,,2.9326,0.02
2.9412,1.718,,2.9412,0.02
2.9499,1.718,,2.9499,0.021
2.9586,1.718,,2.9586,0.021
2.9674,1.717,,2.9674,0.021
2.9762,1.718,,2.9762,0.02
2.9851,1.718,,2.9851,0.02
2.994,1.717,,2.994,0.02
3.003,1.717,,3.003,0.021
3.012,1.717,,3.012,0.02
3.0211,1.717,,3.0211,0.02
3.0303,1.716,,3.0303,0.019
3.0395,1.716,,3.0395,0.019
3.0488,1.715,,3.0488,0.02
3.0581,1.715,,3.0581,0.02
3.0675,1.715,,3.0675,0.019
3.0769,1.714,,3.0769,0.019
3.0864,1.714,,3.0864,0.019
3.096,1.713,,3.096,0.02
3.1056,1.713,,3.1056,0.019
3.1153,1.712,,3.1153,0.019
3.125,1.712,,3.125,0.019
3.1348,1.712,,3.1348,0.02
3.1447,1.712,,3.1447,0.02
3.1546,1.712,,3.1546,0.02
3.1646,1.711,,3.1646,0.019
3.1746,1.711,,3.1746,0.019
3.1847,1.71,,3.1847,0.019
3.1949,1.709,,3.1949,0.02
3.2051,1.709,,3.2051,0.021
3.2154,1.709,,3.2154,0.02
3.2258,1.709,,3.2258,0.02
3.2362,1.708,,3.2362,0.02
3.2468,1.708,,3.2468,0.02
3.2573,1.707,,3.2573,0.021
3.268,1.707,,3.268,0.02
3.2787,1.707,,3.2787,0.02
3.2895,1.706,,3.2895,0.02
3.3003,1.706,,3.3003,0.02
3.3113,1.706,,3.3113,0.021
3.3223,1.705,,3.3223,0.021
3.3333,1.705,,3.3333,0.021
3.3445,1.705,,3.3445,0.02
3.3557,1.704,,3.3557,0.02
3.367,1.704,,3.367,0.021
3.3784,1.703,,3.3784,0.021
3.3898,1.702,,3.3898,0.021
3.4014,1.702,,3.4014,0.021
3.413,1.702,,3.413,0.021
3.4247,1.701,,3.4247,0.022
3.4364,1.701,,3.4364,0.023
3.4483,1.701,,3.4483,0.023
3.4602,1.701,,3.4602,0.022
3.4722,1.701,,3.4722,0.022
3.4843,1.701,,3.4843,0.022
3.4965,1.7,,3.4965,0.022
3.5088,1.7,,3.5088,0.022
3.5211,1.7,,3.5211,0.022
3.5336,1.699,,3.5336,0.021
3.5461,1.699,,3.5461,0.021
3.5587,1.699,,3.5587,0.021
3.5714,1.698,,3.5714,0.021
3.5842,1.698,,3.5842,0.021
3.5971,1.697,,3.5971,0.02
3.6101,1.697,,3.6101,0.02
3.6232,1.696,,3.6232,0.02
3.6364,1.695,,3.6364,0.02
3.6496,1.694,,3.6496,0.02
3.663,1.694,,3.663,0.019
3.6765,1.693,,3.6765,0.019
3.69,1.692,,3.69,0.019
3.7037,1.692,,3.7037,0.02
3.7175,1.691,,3.7175,0.02
3.7313,1.69,,3.7313,0.02
3.7453,1.69,,3.7453,0.019
