wl,n
10.6200,3.95919
10.6400,3.95918
10.6600,3.95916
10.6800,3.95915
10.7000,3.95913
10.7200,3.95912
10.7400,3.95911
10.7600,3.95909
10.7800,3.95908
10.8000,3.95907
10.8200,3.95905
10.8400,3.95904
10.8600,3.95903
10.8800,3.95901
10.9000,3.95900
10.9200,3.95899
10.9400,3.95898
10.9600,3.95896
10.9800,3.95895
11.0000,3.95894

wl,k
0.40000,2.51940
0.40939,2.48531
0.41879,2.45739
0.42818,2.44187
0.43757,2.44144
0.44696,2.45499
0.45636,2.47903
0.46575,2.50990
0.47514,2.54540
0.48454,2.58601
0.49393,2.63387
0.50332,2.68749
0.51271,2.74385
0.52211,2.79707
0.53150,2.83995
0.54089,2.86821
0.55029,2.88399
0.55968,2.89581
0.56907,2.91049
0.57846,2.92638
0.58786,2.93263
0.59725,2.91762
0.60664,2.87870
0.61604,2.82171
0.62543,2.75666
0.63482,2.69050
0.64421,2.62702
0.65361,2.56710
0.66300,2.50996
0.67239,2.45428
0.68178,2.39882
0.69118,2.34282
0.70057,2.28593
0.70996,2.22785
0.71936,2.16824
0.72875,2.10704
0.73814,2.04421
0.74753,1.97962
0.75693,1.91309
0.76632,1.84481
0.77571,1.77499
0.78511,1.70373
0.79450,1.63147
0.80389,1.55845
0.81328,1.48490
0.82268,1.41102
0.83207,1.33702
0.84146,1.26301
0.85086,1.18875
0.86025,1.11347
0.86964,1.03617
0.87903,0.95579
0.88843,0.87262
0.89782,0.79025
0.90721,0.71148
0.91660,0.63690
0.92600,0.56667
0.93539,0.49987
0.94478,0.43640
0.95418,0.37639
0.96357,0.32011
0.97296,0.26782
0.98235,0.21981
0.99175,0.17636
1.00114,0.13775
1.01053,0.10424
1.01993,0.07611
1.02932,0.05357
1.03871,0.03670
1.04810,0.02536
1.05750,0.01860
1.06689,0.01520
1.07628,0.01310
1.08568,0.01070
1.09507,0.00834
1.10446,0.00622
1.11385,0.00429
1.12325,0.00254
1.13264,0.00094
1.14203,0.00034
1.15143,0.00016
1.16082,0.00014
1.17021,0.00011
1.17960,0.00016
1.18900,0.00055
1.19839,0.00119
1.20778,0.00194
1.21717,0.00250
1.22657,0.00299
1.23596,0.00349
1.24535,0.00397
1.25475,0.00439
1.26414,0.00440
1.27353,0.00415
1.28292,0.00368
1.29232,0.00298
1.30171,0.00225
1.31110,0.00146
1.32050,0.00077
1.32989,0.00016
1.33928,0.00048
1.34867,0.00115
1.35807,0.00165
1.36746,0.00211
1.37685,0.00218
1.38625,0.00211
1.39564,0.00127
1.40503,0.00055
1.41442,0.00034
1.42382,0.00017
1.43321,0.00018
1.44260,0.00019
1.45200,0.00017
1.46139,0.00015
1.47078,0.00017
1.48017,0.00019
1.48957,0.00086
1.49896,0.00167
1.50835,0.00190
1.51774,0.00172
1.52714,0.00143
1.53653,0.00085
1.54592,0.00027
1.55532,0.00027
1.56471,0.00033
1.57410,0.00051
1.58349,0.00083
1.59289,0.00114
1.60228,0.00196
1.61167,0.00281
1.62107,0.00384
1.63046,0.00521
1.63985,0.00658
1.64924,0.00773
1.65864,0.00878
1.66803,0.00983
1.67742,0.00988
1.68682,0.00983
1.69621,0.00960
1.70560,0.00632
1.71499,0.00305
1.72439,0.00016
1.73378,0.00019
1.74317,0.00022
1.75256,0.00024
1.76196,0.00020
1.77135,0.00016
1.78074,0.00012
1.79014,0.00010
1.79953,0.00009
1.80892,0.00007
1.81831,0.00006
1.82771,0.00005
1.83710,0.00004
1.84649,0.00004
1.85589,0.00003
1.86528,0.00003
1.87467,0.00002
1.88406,0.00002
1.89346,0.00001
1.90285,0.00001
1.91224,0.00001
1.92164,0.00001
1.93103,0.00001
1.94042,0.00000
1.94981,0.00000
1.95921,0.00000
1.96860,0.00000
1.97799,0.00000
1.98739,0.00000
1.99678,0.00000
2.00617,0.00000
2.01556,0.00000
2.02496,0.00000
2.03435,0.00000
2.04374,0.00000
2.05313,0.00000
2.06253,0.00000
2.07192,0.00000
2.08131,0.00000
2.09071,0.00000
2.10000,0.00000
2.10010,0.00000
2.12000,0.00000
2.14000,0.00000
2.16000,0.00000
2.18000,0.00000
2.20000,0.00000
2.22000,0.00000
2.24000,0.00000
2.26000,0.00000
2.28000,0.00000
2.30000,0.00000
2.32000,0.00000
2.34000,0.00000
2.36000,0.00000
2.38000,0.00000
2.40000,0.00000
2.42000,0.00000
2.44000,0.00000
2.46000,0.00000
2.48000,0.00000
2.50000,0.00000
2.52000,0.00000
2.54000,0.00000
2.56000,0.00000
2.58000,0.00000
2.60000,0.00000
2.62000,0.00000
2.64000,0.00000
2.66000,0.00000
2.68000,0.00000
2.70000,0.00000
2.72000,0.00000
2.74000,0.00000
2.76000,0.00000
2.78000,0.00000
2.80000,0.00000
2.82000,0.00000
2.84000,0.00000
2.86000,0.00000
2.88000,0.00000
2.90000,0.00000
2.92000,0.00000
2.94000,0.00000
2.96000,0.00000
