wl,n
2.38596E-01,0.591242
2.43091E-01,0.518054
2.47671E-01,0.452457
2.52338E-01,0.387131
2.57092E-01,0.326981
2.61936E-01,0.274948
2.66871E-01,0.232703
2.71899E-01,0.200034
2.77022E-01,0.175849
2.82242E-01,0.158014
2.87560E-01,0.144266
2.92978E-01,0.132192
2.98498E-01,0.121522
3.04122E-01,0.112057
3.09852E-01,0.097244
3.15690E-01,0.090259
3.21638E-01,0.084890
3.27698E-01,0.075455
3.33872E-01,0.070850
3.40163E-01,0.068438
3.46572E-01,0.063965
3.53102E-01,0.059838
3.59755E-01,0.056106
3.66533E-01,0.052575
3.73439E-01,0.049079
3.80475E-01,0.045771
3.87643E-01,0.042570
3.94947E-01,0.039735
4.02388E-01,0.037077
4.09970E-01,0.034591
4.17694E-01,0.032150
4.25564E-01,0.029938
4.33582E-01,0.027862
4.41752E-01,0.025847
4.50075E-01,0.023992
4.58555E-01,0.022260
4.67195E-01,0.020672
4.75997E-01,0.019160
4.84965E-01,0.017776
4.94103E-01,0.016424
5.03412E-01,0.015261
5.12897E-01,0.014182
5.22561E-01,0.013182
5.32407E-01,0.012206
5.42438E-01,0.011465
5.52658E-01,0.010744
5.63071E-01,0.010065
5.73680E-01,0.009478
5.84489E-01,0.008958
5.95501E-01,0.008386
6.06721E-01,0.007976
6.18153E-01,0.007660
6.29799E-01,0.007266
6.41666E-01,0.006922
6.53756E-01,0.006599
6.66073E-01,0.006256
6.78623E-01,0.006120
6.91409E-01,0.005687
7.04436E-01,0.005339
7.17708E-01,0.004917
7.31231E-01,0.004765
7.45008E-01,0.004474
7.59045E-01,0.004288
7.73347E-01,0.004105
7.87917E-01,0.003927
8.02763E-01,0.003752
8.17888E-01,0.003580
8.33298E-01,0.003417
8.48998E-01,0.003264
8.64995E-01,0.003113
8.81292E-01,0.002965
8.97897E-01,0.002819
9.14814E-01,0.002676
9.32051E-01,0.002535
9.49612E-01,0.002397
9.67504E-01,0.002260
9.85733E-01,0.002126
1.00431E+00,0.001993
1.02323E+00,0.001883
1.04251E+00,0.001791
1.06215E+00,0.001702
1.08216E+00,0.001614
1.10255E+00,0.001527
1.12332E+00,0.001442
1.14449E+00,0.001359
1.16605E+00,0.001277
1.18802E+00,0.001197
1.21041E+00,0.001118
1.23321E+00,0.001040
1.25645E+00,0.000974
1.28012E+00,0.000912
1.30424E+00,0.000852
1.32881E+00,0.000807
1.35385E+00,0.000790
1.37936E+00,0.000773
1.40535E+00,0.000757
1.43182E+00,0.000741
1.45880E+00,0.000725
1.48629E+00,0.000710
1.51429E+00,0.000694
